Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,1.0000,1.0000,1.0000,1.0000
Esquadrias,0.9000,0.8526,0.8100,0.9000
Piso,0.4400,0.2689,0.1936,0.4400
Forro,0.8000,0.8356,0.8744,0.8000
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
Revestimento Interno,0.0000,0.0000,0.0000,0.0000
Acabamento Interno,0.9000,0.8526,0.8100,0.9000
Revestimento Externo,0.1200,0.0257,0.0144,0.1200
Acabamento Externo,0.0000,0.0000,0.0000,0.0000
Cobertura,0.9400,0.9691,1.0000,0.9400
MÉDIA GERAL (Categorias),0.5545,0.5277,0.5184,0.5545
