Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.9400,0.9691,1.0000,0.9400
Esquadrias,0.9000,0.8526,0.8100,0.9000
Piso,0.4400,0.2689,0.1936,0.4400
Forro,0.9000,0.9000,0.9000,0.9000
Instalação Elétrica,0.2800,0.4375,1.0000,0.2800
Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
Revestimento Interno,0.0000,0.0000,0.0000,0.0000
Acabamento Interno,0.9000,0.8526,0.8100,0.9000
Revestimento Externo,0.7800,0.7445,0.7122,0.7800
Acabamento Externo,0.0400,0.0752,0.6267,0.0400
Cobertura,0.9400,0.9691,1.0000,0.9400
MÉDIA GERAL (Categorias),0.5564,0.5518,0.6411,0.5564
